Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2022,254009,Maple Court Apartments,Submitted Data,1120 1126 E 47th St,60653,1.0,false,Kenwood,Multifamily Housing,50760,1915,1,,15,445867.4,6659899.7,0,0,,140,162.4,149.8,171.8,412.5,8.1,41.80973408310273,-87.59839106098786,POINT (-87.59839106098786 41.80973408310273),2022-254009
2022,243913,990 North Lake Shore Drive,Submitted Data,990 N Lake Shore Dr,60611,1.0,false,NEAR NORTH SIDE,Multifamily Housing,331127,1973,1,,16,12489242.8,10220816.8,0,0,,76.6,154.1,79.6,158,2187.9,7.4,41.900733268826365,-87.61985707754388,POINT (-87.61985707754388 41.900733268826365),2022-243913
2022,160299,,Submitted Data,111 W WACKER DR,60601,3.0,false,LOOP,Multifamily Housing,940002,2014,1,,41,30516051.4,18195799.7,0,0,,60.1,129,60.6,129,4985.9,6.2,41.886706842036986,-87.63140795865142,POINT (-87.63140795865142 41.886706842036986),2022-160299
2022,251687,Peirce Sch Of Intl Studies -CPS,Submitted Data,1423 W Bryn Mawr Ave,60660,1.0,false,EDGEWATER,K-12 School,141588,1915,4,,28,4758764.1,7158680.3,0,0,,84.2,147.2,86.3,149.5,1007,7.1,41.98342818917878,-87.66586537292214,POINT (-87.66586537292214 41.98342818917878),2022-251687
2022,171887,,Submitted Data,1824 N SPAULDING AVE,60647,4.0,false,LOGAN SQUARE,Multifamily Housing,65000,2015,1,,86,981628,3244725.2,0,0,,65,94.7,65.5,93.2,301.6,4.6,41.9144873110274,-87.7103519431192,POINT (-87.7103519431192 41.9144873110274),2022-171887
2022,256778,,Not Submitted,3939 W DEVON AVE,60659,0.0,false,Forest Glen,,50000,,,,,,,,,,,,,,,,41.997133350542754,-87.72785031804918,POINT (-87.72785031804918 41.997133350542754),2022-256778
2022,175978,,Submitted Data,6700  S KEATING AVE,60629,4.0,false,WEST LAWN,Senior Living Community,120000,2017,1,,85,3469219.3,4911300.4,0,0,,69.8,123.9,71.6,125.8,717.8,6,41.771069588287695,-87.74052887602656,POINT (-87.74052887602656 41.771069588287695),2022-175978
2022,255740,The Van Buren,Submitted Data,808 W Van Buren,60607,1.0,false,NEAR WEST SIDE,Multifamily Housing,125766,2018,1,,22,4665641.8,7631923.3,0,0,,104.6,179.3,108,182.8,1019.9,8.7,41.876775163443966,-87.64761342827666,POINT (-87.64761342827666 41.876775163443966),2022-255740
2022,116752,Ike Sims Village,Submitted Data,3333  W MAYPOLE AVE,60624,2.0,false,EAST GARFIELD PARK,Multifamily Housing,91511,1981,1,,28,3783873.8,2080705.3,0,0,,75.4,164.3,76.7,167.1,608.9,7.8,41.883465191706854,-87.71003990906787,POINT (-87.71003990906787 41.883465191706854),2022-116752
2022,132388,,Not Submitted,3913 3959 W MADISON ST,60624,0.0,false,WEST GARFIELD PARK,,57100,,,,,,,,,,,,,,,,41.880642327523894,-87.72366144656698,POINT (-87.72366144656698 41.880642327523894),2022-132388
2022,116336,LaSalle Private Residences,Submitted Data,1212 N LaSalle St,60610,3.0,false,NEAR NORTH SIDE,Multifamily Housing,471954,1986,1,,61,11662672.1,6851736.5,0,0,,50.4,108.4,50.4,107.5,1900.1,5.2,41.904296301251605,-87.63308211662499,POINT (-87.63308211662499 41.904296301251605),2022-116336
2022,101682,8750 West Bryn Mawr Ave - Triangle Plaza,Submitted Data,8750 W Bryn Mawr Ave,60631,4.0,false,OHARE,Office,1286868,1985,1,,86,31846235.2,186167.5,0,0,,41.7,116.2,42.3,118,4204.5,5.5,41.98106319707633,-87.84567441591551,POINT (-87.84567441591551 41.98106319707633),2022-101682
2022,251443,Madison Elementary -CPS,Exempt,7401 S Dorchester,60619,,true,SOUTH SHORE,,67700,,,,,,,,,,,,,,,,41.7604583199955,-87.59069968285279,POINT (-87.59069968285279 41.7604583199955),2022-251443
2022,101969,Chicago Temple Building,Submitted Data,77 W Washington,60602,2.5,false,LOOP,Office,238531,1924,1,,59,7981605,11794100.2,0,0,,82.9,145.6,85.8,147.4,1677.7,7,41.883100539501605,-87.63033121191829,POINT (-87.63033121191829 41.883100539501605),2022-101969
2022,238712,899 South Plymouth Court Condominium Association,Submitted Data,899 S Plymouth Ct,60605,1.5,false,LOOP,Multifamily Housing,263800,1980,1,,40,10805846.2,5789635.4,0,0,,62.9,137.7,64.3,140.4,1730.8,6.6,41.87057299287796,-87.62844790993732,POINT (-87.62844790993732 41.87057299287796),2022-238712
2022,125204,Reside on Morse,Submitted Data,1340  W MORSE AVE,60626,2.0,false,ROGERS PARK,Multifamily Housing,62088,1967,2,,46,1661671.1,5625168.7,0,0,,117.4,170.1,120.4,171.9,517.6,8.3,42.00802983930751,-87.66535497284883,POINT (-87.66535497284883 42.00802983930751),2022-125204
2022,159099,Sofitel Chicago Water Tower,Submitted Data,20 E Chestnut St,60611,1.0,false,NEAR NORTH SIDE,Hotel,377000,2002,1,,13,24261731.9,30739699.5,0,0,,145.9,265.8,146.1,261.1,4828.3,12.8,41.898444636675144,-87.62740563976503,POINT (-87.62740563976503 41.898444636675144),2022-159099
2022,166134,John G Shedd Aquarium,Submitted Data,1200 S Lake Shore Dr,60605,1.0,false,NEAR SOUTH SIDE,Other,452756,1929,1,,,56655688,32251318.8,0,0,,196.4,425.2,198.7,427.6,9640.3,21.3,41.867484227164155,-87.61915038338188,POINT (-87.61915038338188 41.867484227164155),2022-166134
2022,173874,,Not Submitted,5400 5406 N KENMORE AVE,60640,0.0,false,EDGEWATER,,81600,,,,,,,,,,,,,,,,41.98011626062557,-87.656664575504,POINT (-87.656664575504 41.98011626062557),2022-173874
2022,255020,Ace Hotel Chicago,Exempt,311 N MORGAN ST,60607,,true,Near West Side,,140429,,,,,,,,,,,,,,,,41.88712191392366,-87.6520357596219,POINT (-87.6520357596219 41.88712191392366),2022-255020
2022,251334,Seton Hall,Submitted Data,2325 N Sheffield Ave,60614,2.0,false,LINCOLN PARK,College/University,50174,1989,1,,,2130637.1,3745124.1,0,0,,117.1,197.3,122,202.4,479.6,9.6,41.92432721066951,-87.65342424243978,POINT (-87.65342424243978 41.92432721066951),2022-251334
2022,160285,Long Grove House,Submitted Data,2001 S Michigan Ave,60616,3.0,false,NEAR SOUTH SIDE,Multifamily Housing,553115,1969,1,,65,8555232.4,39077568.2,0,0,,97.2,132.6,102.1,136.6,3202.4,6.5,41.8554319990211,-87.62372821557055,POINT (-87.62372821557055 41.8554319990211),2022-160285
2022,156942,Burton-Judson Courts,Submitted Data,1005 E 60th St,60637,3.0,false,WOODLAWN,Residence Hall/Dormitory,201402,1931,1,,68,2852269,0,14194821.6,0,,84.6,124.4,89.7,130.6,1318.2,6.5,41.78582054292253,-87.60093895755584,POINT (-87.60093895755584 41.78582054292253),2022-156942
2022,256408,,Submitted Data,320 E Superior Street,60611,1.0,false,NEAR NORTH SIDE,Laboratory,186803,1965,1,,,30657238.7,38345680.1,0,0,,369.4,675.1,364.8,656.6,6074.7,32.5,41.895924108238226,-87.61954552570175,POINT (-87.61954552570175 41.895924108238226),2022-256408
2022,109576,,Not Submitted,7200 7216 N RIDGE BLVD,60645,0.0,false,WEST RIDGE,,76937,,,,,,,,,,,,,,,,42.012383191822174,-87.68325707971205,POINT (-87.68325707971205 42.012383191822174),2022-109576
2022,251996,Prairie Point Condominium,Submitted Data,1600 S Prairie Ave,60616,1.5,false,NEAR SOUTH SIDE,Multifamily Housing,357000,2006,1,,39,7152087.6,18654526.1,0,0,,95.9,147.2,98.6,147.4,1991.5,7.4,41.860170404620284,-87.62097159169389,POINT (-87.62097159169389 41.860170404620284),2022-251996
2022,256890,,Submitted Data,455 E WATERSIDE DR,60601,4.0,false,,Multifamily Housing,681529,2021,1,,83,13321451.2,19583790.4,0,0,,64.3,113,65.7,112.4,2794.8,5.5,41.88683541770806,-87.61533228622845,POINT (-87.61533228622845 41.88683541770806),2022-256890
2022,251551,Murphy Elementary -CPS,Submitted Data,3539 W Grace St,60618,1.5,false,IRVING PARK,K-12 School,85287,1924,1,,35,1481019.6,7574559.8,0,0,,106.2,141.9,112.2,148.2,597.4,7,41.950050341973395,-87.7168294858019,POINT (-87.7168294858019 41.950050341973395),2022-251551
2022,243071,1620 S. Michigan Ave Condo Association,Submitted Data,1620 S Michigan Ave,60616,1.0,false,NEAR SOUTH SIDE,Multifamily Housing,306737,2006,1,,,6919342.2,16015400.4,0,0,,91.1,143.8,92.9,143.1,1762,7,41.85964085466748,-87.62412017840215,POINT (-87.62412017840215 41.85964085466748),2022-243071
2022,112437,,Submitted Data,415 421 W ALDINE AVE,60657,4.0,false,LAKE VIEW,Multifamily Housing,140000,1927,1,,83,1660138.6,9255186.9,0,0,,78,102.6,82.5,106.2,710.3,5.1,41.942171117689924,-87.64055913334448,POINT (-87.64055913334448 41.942171117689924),2022-112437
2022,129963,,Exempt,2290 S Grove Street,60616,,true,ARMOUR SQUARE,,59412,,,,,,,,,,,,,,,,41.850385403070945,-87.64069279077634,POINT (-87.64069279077634 41.850385403070945),2022-129963
2022,101920,Wrigley Building,Submitted Data,410 N MICHIGAN AVE,60611,4.0,false,NEAR NORTH SIDE,Office,661275,1921,1,,86,21545659.2,17350480.5,0,0,,58.8,118.8,59.5,118.1,3759.4,5.7,41.8898747912625,-87.62425976144404,POINT (-87.62425976144404 41.8898747912625),2022-101920
2022,254567,Moment Chicago,Submitted Data,545 McClurg Ct,60611,3.0,false,Near North Side,Multifamily Housing,670539,2017,1,,61,22701195.6,10862295.4,0,0,,62,138.5,62.7,139.9,3567,6.6,41.89238949917251,-87.61756080338456,POINT (-87.61756080338456 41.89238949917251),2022-254567
2022,174164,,Not Submitted,1380  E HYDE PARK BLVD,60615,0.0,false,KENWOOD,,160000,,,,,,,,,,,,,,,,41.80252988698073,-87.59193633932374,POINT (-87.59193633932374 41.80252988698073),2022-174164
2022,251281,40 E Oak St,Submitted Data,40 E Oak St,60611,2.0,false,NEAR NORTH SIDE,Multifamily Housing,154113,1928,1,,46,2813444.4,15262838.1,0,0,,117.3,155.1,124.4,160.6,1181.3,7.7,41.90088008552061,-87.62685888861459,POINT (-87.62685888861459 41.90088008552061),2022-251281
2022,159981,"7447 South Shore, LLC - South Shore Beach Apartments",Submitted Data,7447 S South Shore Dr,60649,1.5,false,SOUTH SHORE,Multifamily Housing,381983,1968,1,,33,7335612.2,28083262.3,0,0,,105.7,149.3,108.8,150.7,2457.8,7.3,41.761305471393655,-87.55770551531141,POINT (-87.55770551531141 41.761305471393655),2022-159981
2022,252297,Lyndale Place,Submitted Data,2575 W Lyndale,60647,4.0,false,LOGAN SQUARE,Multifamily Housing,83620,1924,1,,98,1182317,2569411.8,0,0,,44.9,71.9,46.4,73.5,292.2,3.5,41.92232920928405,-87.69222252675809,POINT (-87.69222252675809 41.92232920928405),2022-252297
2022,112760,,Submitted Data,2416 2458 W GREENLEAF AVE,60645,3.5,false,WEST RIDGE,Multifamily Housing,80000,1927,1,,57,464782.1,8415500.4,0,0,,111,126.7,116.9,133,508.2,6.4,42.00961493978809,-87.6906098692729,POINT (-87.6906098692729 42.00961493978809),2022-112760
2022,175421,,Submitted Data,7219  N SHERIDAN RD,60626,1.0,false,ROGERS PARK,Multifamily Housing,52998,1928,1,,24,775917.3,5289543.2,0,0,,114.4,145.8,117.7,147.8,383.2,7.2,42.01338119245121,-87.66359877311648,POINT (-87.66359877311648 42.01338119245121),2022-175421
2022,111959,Dickens Place Condominium Association,Submitted Data,2100  N RACINE AVE,60614,4.0,false,LINCOLN PARK,Multifamily Housing,87600,1900,1,,100,769940.2,1957608,0,0,,37.4,57.7,38,57.6,205.4,2.8,41.91993549831988,-87.6584284790678,POINT (-87.6584284790678 41.91993549831988),2022-111959
2022,251320,"Jewel Osco, 03376-Kinzie & Des Plaines",Submitted Data,370 N Desplaines St,60661,2.5,false,WEST TOWN,Supermarket/Grocery Store,65000,2008,1,,57,7513697.7,10313899.6,0,0,,274.3,490.3,281.2,494.1,1537.5,23.7,41.88891817356032,-87.64447797292972,POINT (-87.64447797292972 41.88891817356032),2022-251320
2022,121038,Sherman Plaza,Not Submitted,163 W 87th St,60620,0.0,false,CHATHAM,,187780,,,,,,,,,,,,,,,,41.73611245395929,-87.6286450717373,POINT (-87.6286450717373 41.73611245395929),2022-121038
2022,175892,,Not Submitted,4526  N SHERIDAN RD,60640,0.0,false,UPTOWN,,96960,,,,,,,,,,,,,,,,41.96440189556048,-87.654922512658,POINT (-87.654922512658 41.96440189556048),2022-175892
2022,250122,Swedish Covenant Hospital Campus,Submitted Data,5145 N California Ave,60625,2.0,false,LINCOLN SQUARE,Mixed Use Property,1397263,1918,10,,44,90173072.3,75038913.5,0,0,,206.6,414.4,204.7,412.3,15862.7,19.8,41.97533413581096,-87.69875687452328,POINT (-87.69875687452328 41.97533413581096),2022-250122
2022,101826,Drexel Building,Not Submitted,8136 8142 S DREXEL AVE,60619,0.0,false,CHATHAM,,66888,,,,,,,,,,,,,,,,41.746537640324526,-87.60276600470702,POINT (-87.60276600470702 41.746537640324526),2022-101826
2022,101883,Omni Hotel,Submitted Data,676 N Michigan Ave,60611,1.0,false,NEAR NORTH SIDE,Hotel,440281,1990,1,,3,58729940.8,6049269.9,0,0,,147.1,387.9,147.1,387.7,8056.9,18.3,41.89482685257429,-87.62439615715573,POINT (-87.62439615715573 41.89482685257429),2022-101883
2022,251560,Hampton Fine & Performing Arts -CPS,Submitted Data,3434 W 77th St,60652,1.0,false,ASHBURN,K-12 School,98776,2000,1,,12,5147060,4097419.7,0,0,,93.6,189.5,95.7,189.6,895.6,9.1,41.75348432246293,-87.70875286894322,POINT (-87.70875286894322 41.75348432246293),2022-251560
2022,114120,,Submitted Data,1169 S PLYMOUTH CT,60605,2.5,false,LOOP,Multifamily Housing,138000,1978,1,,53,4426157.9,4356293.2,0,0,,73.2,141.4,74.8,141.9,814.4,6.8,41.868167969554285,-87.62838989438983,POINT (-87.62838989438983 41.868167969554285),2022-114120
2022,256430,Cunningham Hall,Not Submitted,3100 S Michigan Avenue,60616,0.0,false,DOUGLAS,,70269,,,,,,,,,,,,,,,,41.838249529105866,-87.6235883653638,POINT (-87.6235883653638 41.838249529105866),2022-256430
2022,113396,Surfside Condominium,Not Submitted,5815 N Sheridan Rd,60660,0.0,false,EDGEWATER,,225000,,,,,,,,,,,,,,,,41.98782830708625,-87.655170781532,POINT (-87.655170781532 41.98782830708625),2022-113396
2022,175813,,Submitted Data,4260  N BROADWAY ST,60613,4.0,false,UPTOWN,Multifamily Housing,137900,2007,1,,100,1036197.3,1881273.5,0,0,,23.3,39,24.3,40,236.4,1.9,41.95985963166279,-87.65409599507807,POINT (-87.65409599507807 41.95985963166279),2022-175813
2022,173733,,Submitted Data,2336  N COMMONWEALTH AVE,60614,4.0,false,LINCOLN PARK,Multifamily Housing,120755,1968,1,,97,1398343.3,3242878,0,0,,46.1,72.7,48.4,75.1,356.4,3.5,41.92490681063852,-87.63823447332803,POINT (-87.63823447332803 41.92490681063852),2022-173733
2022,175046,East WrigleyView Village Condominiums,Submitted Data,737  W CORNELIA AVE,60657,1.0,false,LAKE VIEW,Multifamily Housing,51030,1919,1,,16,897960,4946800.2,0,0,,114.5,151.1,119.7,155.3,381,7.5,41.945335921467894,-87.64845096271144,POINT (-87.64845096271144 41.945335921467894),2022-175046
2022,156609,,Submitted Data,1360 N ASHLAND AVE,60622,4.0,false,WEST TOWN,Wholesale Club/Supercenter,147776,2016,1,,83,3387661.8,1306072.9,0,0,,53.4,123.5,53.3,121.9,515.6,5.9,41.90679510984423,-87.66773167006288,POINT (-87.66773167006288 41.90679510984423),2022-156609
2022,250147,820 W Jackson Blvd,Submitted Data,820 W Jackson Blvd,60607,1.0,false,NEAR WEST SIDE,Office,186957.7,1915,1,,,13408061.5,0,0,0,,71.7,200.8,71.7,200.8,1766,9.4,41.878043475002826,-87.64818021093538,POINT (-87.64818021093538 41.878043475002826),2022-250147
2022,251712,Penn Elementary -CPS,Exempt,1616 S Avers Ave,60623,,true,NORTH LAWNDALE,,158325,,,,,,,,,,,,,,,,41.85836994740216,-87.72133608972533,POINT (-87.72133608972533 41.85836994740216),2022-251712
2022,251614,Kozminski Elementary Academy -CPS,Exempt,936 E 54th St,60615,,true,HYDE PARK,,100709,,,,,,,,,,,,,,,,41.798029497076946,-87.60246286753599,POINT (-87.60246286753599 41.798029497076946),2022-251614
2022,117948,Symphony of Chicago West,Submitted Data,5130  W JACKSON BLVD,60644,2.0,false,AUSTIN,Senior Living Community,139114,1980,1,,21,4499001.6,13219880.1,0,0,,160.5,239.8,164.3,240.7,1294.8,11.7,41.87677135996502,-87.75477136468453,POINT (-87.75477136468453 41.87677135996502),2022-117948
2022,175546,,Submitted Data,2236 2296 N LINCOLN PARK WEST AVE,60614,4.0,false,LINCOLN PARK,Multifamily Housing,94600,1910,1,,89,1718804.1,4312483.1,0,0,,63.8,98.7,65.7,99.5,455.4,4.8,41.923101692647975,-87.63663948599596,POINT (-87.63663948599596 41.923101692647975),2022-175546
2022,172765,,Submitted Data,820  S PARK TER,60605,3.0,false,LOOP,Multifamily Housing,157844,1979,1,,62,2609966.6,12149700.2,0,0,,93.5,127.1,99.1,133,989.1,6.3,41.871459802919055,-87.62972747620356,POINT (-87.62972747620356 41.871459802919055),2022-172765
2022,242313,3150 CA,Not Submitted,3150 N Lake Shore Dr,60657,0.0,false,LAKE VIEW,,553150,,,,,,,,,,,,,,,,41.938952908050794,-87.63815991563948,POINT (-87.63815991563948 41.938952908050794),2022-242313
2022,172759,,Submitted Data,161  W HARRISON ST,60605,4.0,false,LOOP,Multifamily Housing,198000,1995,1,,77,4090298.9,6575531.4,0,0,,63.5,109.3,63.7,108.2,888,5.3,41.874381110443956,-87.63280747758456,POINT (-87.63280747758456 41.874381110443956),2022-172759
2022,111000,,Not Submitted,2740  W ARMITAGE AVE,60647,0.0,false,LOGAN SQUARE,,60000,,,,,,,,,,,,,,,,41.91760780652425,-87.69643287853188,POINT (-87.69643287853188 41.91760780652425),2022-111000
2022,252262,Humboldt Ridge Apartments,Not Submitted,1816 N St Louis Ave,60647,0.0,false,LOGAN SQUARE,,45108,,,,,,,,,,,,,,,,41.914218377054205,-87.7135842865605,POINT (-87.7135842865605 41.914218377054205),2022-252262
2022,172607,,Submitted Data,1734 1740 N MARSHFIELD AVE,60622,4.0,false,WEST TOWN,Multifamily Housing,76478,1993,1,,96,732999.7,2731827.7,0,0,,48.9,69.4,49.7,69.4,241.6,3.4,41.9134840987878,-87.66913845416519,POINT (-87.66913845416519 41.9134840987878),2022-172607
2022,252112,Pete's Cermak,Submitted Data,2526 W Cermak Ave,60608,1.0,false,SOUTH LAWNDALE,Supermarket/Grocery Store,74000,2006,,,26,11664255.5,12227980.2,0,0,,322.9,614.9,326.5,613.4,2185.8,29.5,41.85210065324028,-87.68905111060724,POINT (-87.68905111060724 41.85210065324028),2022-252112
2022,101867,125 South Wacker,Submitted Data,125 S Wacker Dr,60606,3.0,false,LOOP,Office,641962,1974,1,,67,33422010,0,0,0,,52.1,145.8,52.9,148.2,4402.2,6.9,41.88001342713154,-87.63657238450709,POINT (-87.63657238450709 41.88001342713154),2022-101867
2022,159896,Regents Park,Submitted Data,5020 - 5050 S Lake Shore Dr,60615,2.0,false,KENWOOD,Multifamily Housing,1460101,1972,1,,42,30613092,109683594.1,0,0,,96.1,137.6,99.5,139.7,9858,6.8,41.803747257819744,-87.58220896761574,POINT (-87.58220896761574 41.803747257819744),2022-159896
2022,235438,,Submitted Data,5901 N SHERIDAN RD,60660,3.5,false,EDGEWATER,Multifamily Housing,287688,1966,1,,73,9307334.2,0,0,0,,38.4,107.4,38.9,108.9,1225.9,5.1,41.989255198913554,-87.65521256058591,POINT (-87.65521256058591 41.989255198913554),2022-235438
2022,251620,Seward Communication Arts Academy -CPS,Submitted Data,4600 S Hermitage Ave,60609,4.0,false,NEW CITY,K-12 School,98375,1894,3,,76,1207684.2,5191739.9,0,0,,65.1,89.8,68.2,93.1,434.8,4.4,41.810296318834936,-87.66880777819493,POINT (-87.66880777819493 41.810296318834936),2022-251620
2022,109549,,Submitted Data,1327 1337 W LUNT AVE,60626,1.5,false,ROGERS PARK,Multifamily Housing,59768,1925,1,,37,371745,4623566.4,0,0,,83.6,98.6,87.7,102.5,294.5,4.9,42.00903394067994,-87.6647682806523,POINT (-87.6647682806523 42.00903394067994),2022-109549
